network,model,feature_config,strategy,overall_mae_avg,recurrent_mae_avg,nr_mae_avg,unobserved_onset_mae,confirmed_nr_mae,overall_rmse_avg,nr_rmse_avg,nr_rate_pct,elapsed_s
cranberry,agcrn,speed_incidents,standard,3.2987,3.2003,7.3154,11.333,5.9208,4.659,11.3094,2.393,1694.3
cranberry,agcrn,speed,multi_objective,3.4893,3.3808,7.9156,12.2882,6.3978,4.8897,11.9041,2.393,362.1
cranberry,agcrn,speed,nr_finetune,3.3053,3.2075,7.2967,11.3405,5.893,4.6631,11.294,2.393,1202.4
cranberry,agcrn,speed_nr,standard,3.2842,3.1843,7.3619,11.3321,5.9834,4.641,11.2849,2.393,2450.0
cranberry,agcrn,speed,standard,3.276,3.1769,7.3217,11.3949,5.9076,4.6377,11.3507,2.393,2446.9
cranberry,agcrn,speed_time_incidents,standard,3.3053,3.206,7.3597,11.3542,5.9731,4.6688,11.3686,2.393,885.9
cranberry,agcrn,speed_time_nr,standard,3.2973,3.198,7.3504,11.3827,5.9506,4.6575,11.3148,2.393,1187.7
cranberry,agcrn,speed_time,standard,3.2631,3.1638,7.3177,11.2808,5.9418,4.6292,11.3871,2.393,3067.4
cranberry,agcrn,speed_time_weather_incidents,standard,3.3499,3.2448,7.6379,11.587,6.2672,4.7249,11.6342,2.393,584.8
cranberry,agcrn,speed_time_weather,standard,3.3397,3.2355,7.5921,11.5261,6.2266,4.717,11.6406,2.393,1542.3
cranberry,agcrn,speed_weather_incidents,standard,3.3303,3.2249,7.6318,11.6001,6.2545,4.7103,11.7047,2.393,1404.6
cranberry,agcrn,speed_weather,standard,3.3288,3.2251,7.5611,11.5287,6.184,4.703,11.6115,2.393,1357.0
cranberry,agcrn,speed,weighted_loss,3.6098,3.5152,7.4714,10.9275,6.2713,4.9807,11.162,2.393,513.8
cranberry,astgcn,speed_incidents,standard,3.3605,3.2491,7.9073,11.6753,6.5999,4.7621,12.1223,2.393,1189.4
cranberry,astgcn,speed,nr_finetune,3.4136,3.3015,7.9895,11.6838,6.7077,4.8191,12.1992,2.393,2145.9
cranberry,astgcn,speed_nr,standard,3.5631,3.4337,8.8422,11.9788,7.755,5.0397,13.4405,2.393,1979.8
cranberry,astgcn,speed,standard,3.4521,3.3278,8.5243,11.7985,7.3891,4.9169,13.069,2.393,1313.6
cranberry,astgcn,speed_time_incidents,standard,3.3355,3.2305,7.6212,11.6024,6.2391,4.7068,11.5888,2.393,694.0
cranberry,astgcn,speed_time_nr,standard,3.3672,3.2586,7.7997,11.6431,6.4657,4.7532,11.838,2.393,1430.5
cranberry,astgcn,speed_time,standard,3.4126,3.3058,7.7722,11.5912,6.4468,4.8057,11.9065,2.393,3420.0
cranberry,astgcn,speed_time_weather_incidents,standard,3.5262,3.3952,8.8722,11.9416,7.808,5.0114,13.4074,2.393,3358.3
cranberry,astgcn,speed_time_weather,standard,3.3757,3.2671,7.8046,11.6468,6.4711,4.77,11.9002,2.393,666.6
cranberry,astgcn,speed_weather_incidents,standard,3.6391,3.5017,9.2421,12.0785,8.2587,5.1219,13.6962,2.393,497.3
cranberry,astgcn,speed_weather,standard,3.3874,3.2769,7.8962,11.7386,6.5626,4.7711,11.819,2.393,676.2
cranberry,astgcn,speed,weighted_loss,3.546,3.4505,7.4428,10.9465,6.2262,4.9169,11.0893,2.393,1030.9
cranberry,d2stgnn,speed_incidents,standard,3.816,3.6087,12.2712,13.3814,11.8865,5.4601,16.8166,2.393,367.1
cranberry,d2stgnn,speed,multi_objective,3.8584,3.6635,11.8079,12.9222,11.4236,5.4721,16.3682,2.393,53.3
cranberry,d2stgnn,speed,nr_finetune,3.8584,3.6635,11.8079,12.9222,11.4236,5.4721,16.3682,2.393,53.2
cranberry,d2stgnn,speed_nr,standard,3.8166,3.6088,12.2896,13.3817,11.9112,5.4613,16.8307,2.393,290.0
cranberry,d2stgnn,speed,standard,3.7929,3.587,12.1932,13.3517,11.7917,5.4335,16.7524,2.393,275.3
cranberry,d2stgnn,speed_time_incidents,standard,3.8394,3.6391,12.0077,13.1434,11.6144,5.4666,16.5752,2.393,326.0
